Number,Name,Class,Position,Birth City,HighSchool ,School
22,Jaden Robinson,Fr,G,Baltimore (MD),Mount Saint Joseph College,Georgetown
11,Joel Ayayi,Fr,G,Bordeaux,N/A,Gonzaga
2,Jack Beach,Jr,G,San Diego (CA),Torrey Pines High School,Gonzaga
15,Brandon Clarke,Jr,PF,Vancouver,Desert Vista High School,Gonzaga
0,Geno Crandall,Sr,G,Minneapolis (MN),De La Salle High School,Gonzaga
4,"Greg Foster, Jr.",Fr,SG,Mequon (WI),Clark High School,Gonzaga
21,Rui Hachimura,Jr,F,Sendai,Meisei High School,Gonzaga
22,Jeremy Jones,Sr,F,San Antonio (TX),East Central High School,Gonzaga
24,Corey Kispert,So,SF,Edmonds (WA),King's Way Christian School,Gonzaga
10,Matthew Lang,Fr,G,Portland (OR),Jesuit High School,Gonzaga
14,Jacob Larsen,So,F,Holte,Falkonergardens High School,Gonzaga
5,Alex Martin,Jr,GF,Overland Park (KS),Blue Valley High School,Gonzaga
23,Zach Norvell,So,SG,Chicago (IL),Simeon Career Academy,Gonzaga
20,Paul Pennington,Fr,G,Boise (ID),Boise High School,Gonzaga
13,Josh Perkins,Sr,G,Denver (CO),Huntington Prep,Gonzaga
3,Filip Petrusev,Fr,FC,Belgrade,Montverde Academy,Gonzaga
33,Killian Tillie,Jr,C,Paris,INSEP Academy,Gonzaga
23,Cedrick Alley,Fr,F,Houston (TX),Klein Forest High School,Houston
24,Breaon Brady,Sr,F,Akron (OH),Ellet High School,Houston
30,Caleb Broodo,Fr,F,Midland (MI),Dow High School,Houston
3,Armoni Brooks,Jr,SG,Round Rock (TX),McNeil High School,Houston
5,Corey Davis,Sr,PG,Ruston (LA),Lafayette High School,Houston
2,Landon Goesling,Sr,G,Irving (TX),Coppell High School,Houston
55,Brison Gresham,So,PF,New Orleans (LA),McDonogh No. 35 High School,Houston
1,Chris Harris,Jr,C,Houston (TX),Madison High School,Houston
11,Nate Hinton,Fr,SF,Gastonia (NC),Gaston Day School,Houston
13,DeJon Jarreau,So,PG,New Orleans (LA),McDonogh No. 35 High School,Houston
-,Caleb Mills,RS-Fr,SG,Asheville (NC),Asheville Christian Academy,Houston
25,"Galen Robinson, Jr.",Sr,PG,Houston (TX),Westbury Christian School,Houston
15,Neil VanBeck,Fr,G,Houston (TX),Westside High School,Houston
35,Fabian White,So,F,Atascocita (TX),Atascocita High School,Houston
13,Austin Ash,Fr,G,Cedar Rapids (IA),Mount Vernon High School,Iowa
0,Michael Baer,So,F,Bettendorf (IA),Bettendorf High School,Iowa
51,Nicholas Baer,Sr,F,Bettendorf (IA),Bettendorf High School,Iowa
3,Jordan Bohannon,Jr,PG,Marion (IA),Linn-Mar High School,Iowa
25,Tyler Cook,Jr,C,St. Louis (MO),Chaminade College Preparatory School,Iowa
1,Maishe Dailey,Jr,SG,Beachwood (OH),Beachwood High School,Iowa
5,C.J. Fredrick,RS-Fr,SG,Alexandria (KY),Covington Catholic High School,Iowa
55,Luke Garza,So,C,Washington (DC),Maret High School,Iowa
24,Nicholas Hobbs,So,G,Chicago (IL),Fenwick High School,Iowa
15,Ryan Kriener,Jr,C,Spirit Lake (ID),Spirit Lake High School,Iowa
30,Connor McCaffery,Fr,SF,Iowa City (IA),West High School,Iowa
4,Isaiah Moss,Jr,SF,Chicago (IL),Simeon Career Academy,Iowa
2,Jack Nunge,RS-So,F,Newburgh (IN),Castle High School,Iowa
35,Cordell Pemsl,RS-Jr,PF,Dubuque (IA),Wahlert Catholic High School,Iowa
20,Riley Till,So,GF,Dubuque (IA),Wahlert Catholic High School,Iowa
10,Joe Wieskamp,Fr,SF,Muscatine (IA),Muscatine High School,Iowa
15,Carter Boothe,Fr,G,Leon (IA),Central Decatur High School,Iowa State
4,George Conditt IV,Fr,PF,Chicago (IL),Corliss High School,Iowa State
0,Zion Griffin,Fr,F,Chicago (IL),Hinsdale South High School,Iowa State
22,Tyrese Haliburton,Fr,PG,Oshkosh (WI),Oshkosh North High School,Iowa State
11,Talen Horton-Tucker,Fr,SF,Chicago (IL),Simeon Career Academy,Iowa State
12,Michael Jacobson,Jr,PF,Waukee (IA),Waukee High School,Iowa State
2,Cameron Lard,So,PF,Natchitoches (LA),Natchitoches Central High School,Iowa State
24,Terrence Lewis,So,SF,Milwaukee (WI),Riverside High School,Iowa State
10,Nate Schuster,Fr,F,Menomonee Falls (WI),Menomonee Falls High School,Iowa State
3,Marial Shayok,Sr,G,Ottawa,Blair Academy,Iowa State
25,Eric Steyer,Fr,G,Ames (IA),Ames High School,Iowa State
23,Zoran Talley,Sr,F,Merrillville (IN),Merrillville High School,Iowa State
1,Nick Weiler-Babb,Sr,F,Arlington (TX),Martin High School,Iowa State
5,Lindell Wigginton,So,SG,Dartmouth,Oak Hill Academy,Iowa State
33,Solomon Young,RS-Jr,C,Sacramento (CA),Sacramento High School,Iowa State
30,Ochai Agbaji,Fr,SF,Kansas City (KS),Oak Park High School,Kansas
35,Udoka Azubuike,Jr,C,Lagos,Potter's House Christian Academy,Kansas
22,Silvio De Sousa,So,FC,Luanda,IMG Academy,Kansas
11,Devon Dotson,Fr,PG,Charlotte (NC),Providence Day School,Kansas
10,Elijah Elliott,Fr,G,Southlake (TX),Carroll Senior High School,Kansas
0,Marcus Garrett,So,PG,Dallas (TX),Skyline High School,Kansas
5,Quentin Grimes,Fr,SG,The Woodlands (TX),College Park High School,Kansas
1,Dedric Lawson,Jr,PF,Memphis (TN),Hamilton High School,Kansas
13,K.J. Lawson,So,SF,Memphis (TN),Hamilton High School,Kansas
44,Mitchell Lightfoot,Jr,PF,Tucson (AZ),Ironwood Ridge High School,Kansas
20,Garrett Luinstra,Fr,G,Lawrence (KS),Lawrence Free State High School,Kansas
33,David McCormack,Fr,C,Norfolk (VA),Oak Hill Academy,Kansas
2,Charlie Moore,So,PG,Chicago (IL),Morgan Park High School,Kansas
12,Chris Teahan,So,G,Leawood (KS),Rockhurst High School,Kansas
24,Lagerald Vick,Sr,SG,Memphis (TN),Douglass High School,Kansas
5,"Barry Brown, Jr.",Sr,SG,St. Petersburg (FL),Gibbs High School,Kansas State
2,Cartier Diarra,So,SG,Florence (SC),West Florence High School,Kansas State
-,Goodnews Kpegeol,RS-Fr,F,North St. Paul (MN),North St. Paul High School,Kansas State
21,James Love III,So,PF,Miramar (FL),American Heritage School,Kansas State
14,Makol Mawien,Jr,C,Salt Lake City (UT),Granger High School,Kansas State
0,Mike McGuirl,So,G,Ellington (CT),East Catholic High School,Kansas State
24,Pierson Mcatee,Jr,GF,Manhattan (KS),Manhattan High School,Kansas State
35,Patrick Muldoon,Jr,F,Basehor (KS),Basehor-Linwood High School,Kansas State
1,Shaun Neal-Williams,Fr,PG,Florissant (MO),Hazelwood Central High School,Kansas State
45,Nigel Shadd,Fr,PF,Chandler (AZ),Tri-City Christian Academy,Kansas State
20,Xavier Sneed,Jr,SF,St. Louis (MO),Hazelwood Central High School,Kansas State
34,Levi Stockard III,So,F,St. Louis (MO),Vashon High School,Kansas State
3,Kamau Stokes,Sr,PG,Baltimore (MD),Fork Union Military Academy,Kansas State
23,Austin Trice,Jr,F,Chicago (IL),Hales Franciscan,Kansas State
32,Dean Wade,Sr,PF,St. John (KS),St. John High School,Kansas State
13,Jemarl Baker,Fr,SG,Eastvale (CA),Eleanor Roosevelt High School,Kentucky
12,Brad Calipari,Jr,G,Franklin Lakes (NJ),MacDuffie School,Kentucky
10,Jonny David,Sr,G,Pittsburgh (PA),Mt. Lebanon High School,Kentucky
2,Ashton Hagans,Fr,PG,Covington (GA),Newton High School,Kentucky
14,Tyler Herro,Fr,SG,Greenfield (WI),Whitnall High School,Kentucky
3,Keldon Johnson,Fr,SF,South Hill (VA),Oak Hill Academy,Kentucky
23,E.J. Montgomery,Fr,F,Port St. Lucie (FL),Joseph Wheeler High School,Kentucky
21,Zan Payne,RS-Fr,GF,Lexington (KY),Lexington Catholic High School,Kentucky
5,Immanuel Quickley,Fr,PG,Bel Air (MD),The John Carroll School,Kentucky
4,Nick Richards,So,C,Kingston,The Patrick School,Kentucky
22,Reid Travis,Sr,F,Minneapolis (MN),De La Salle High School,Kentucky
25,P.J. Washington,So,PF,Frisco (TX),Findlay College Prep,Kentucky
11,Kavell Bigby-Williams,Sr,F,London,Harris Academy Beckenham,LSU
21,Courtese Cooper,RS-So,F,Elgin (IL),Elgin High School,LSU
22,Darius Days,Fr,PF,Gainesville (FL),IMG Academy,LSU
5,Daryl Edwards,RS-Sr,G,Fresno (CA),Fresno Central High School,LSU
12,Marshall Graves,Jr,G,Ponchatoula (LA),Louisiana State University Laboratory School,LSU
15,Aundre Hyatt,RS-Fr,SF,White Plains (NY),The Miller School of Albemarle,LSU
20,Danya Kingsby,RS-Jr,PG,Milwaukee (WI),Alexander Hamilton High School,LSU
4,Skylar Mays,Jr,PG,Baton Rouge (LA),Louisiana State University Laboratory School,LSU
13,Will Reese,So,G,Leesville (LA),Anacoco High School,LSU
0,Naz Reid,Fr,C,Asbury (NJ),Roselle Catholic High School,LSU
44,Wayde Sims,Jr,PF,Baton Rouge (LA),Louisiana State University Laboratory School,LSU
1,Ja'Vonte Smart,Fr,G,Baton Rouge (LA),Scotlandville High School,LSU
14,Marlon Taylor,Jr,G,Mount Vernon (NY),Mount Vernon High School,LSU
10,Noah Thomas,Fr,SG,Cypress (TX),Cy-Fair High School,LSU
3,Tremont Waters,So,PG,New Haven (CT),Notre Dame High School,LSU
24,Emmitt Williams,Fr,PF,Lehigh Acres (FL),Oak Ridge High School,LSU
0,Akoy Agau,Sr,PF,Khartoum,Omaha Central High School,Louisville
10,Wyatt Battaile,Fr,GF,Pikeville (KY),Pikeville High School,Louisville
1,Christen Cunningham,Sr,G,Lexington (KY),Cordia High School,Louisville
23,Steven Enoch,Jr,PF,Norwalk (CT),St. Thomas More Prep,Louisville
4,Khwan Fore,Sr,G,Huntsville (AL),Lee High School,Louisville
3,Jo Griffin,So,G,La Grange (KY),South Oldham High School,Louisville
13,V.J. King,Jr,SF,Akron (OH),Paul VI Catholic High School,Louisville
30,Ryan McMahon,Jr,SG,Sarasota (FL),Cardinal Mooney High School,Louisville
33,Jordan Nwora,So,F,Buffalo (NY),Canisius High School,Louisville
2,Darius Perry,So,PG,Powder Springs (GA),Joseph Wheeler High School,Louisville
14,Will Rainey,Sr,G,Louisville (KY),Atherton High School,Louisville
12,Jacob Redding,So,G,Fort Wayne (IN),Carroll High School,Louisville
24,Dwayne Sutton,Jr,SG,Louisville (KY),duPont Manual High School,Louisville
5,Malik Williams,So,C,Fort Wayne (IN),R. Nelson Snider High School,Louisville
2,Sacar Anim,Jr,SG,Minneapolis (MN),De La Salle High School,Marquette
1,Brendan Bailey,Fr,SF,American Fork (UT),American Fork High School,Marquette
23,Jamal Cain,So,F,Pontiac (MI),Cornerstone Health and Technology High School,Marquette
21,Joseph Chartouny,Sr,PG,Saint-Hubert,College Jean-De-Brebeuf,Marquette
13,Ike Eke,Fr,PF,Lagos,University of Detroit Jesuit High School and Academy,Marquette
5,Greg Elliott,RS-So,G,Detroit (MI),East English Village Preparatory Academy,Marquette
40,Tommy Gardiner,Fr,F,Park Ridge (IL),Maine South High School,Marquette
22,Joey Hauser,Fr,PF,Stevens Point (WI),Stevens Point High School,Marquette
10,Sam Hauser,Jr,SF,Stevens Point (WI),Stevens Point High School,Marquette
12,Matt Heldt,Sr,C,Neenah (WI),Neenah High School,Marquette
0,Markus Howard,Jr,SG,Morristown (NJ),Findlay College Prep,Marquette
42,Buddy Jaffee,Fr,G,Michigan City (IN),Marquette Catholic High School,Marquette
4,Theo John,So,PF,Brooklyn Park (MN),Champlin Park High School,Marquette
41,Mike Lelito,So,G,Mt. Prospect (IL),Hersey High School,Marquette
52,Cam Marotta,Sr,G,Mequon (WI),Homestead High School,Marquette
30,Ed Morrow,Jr,PF,Chicago (IL),Simeon Career Academy,Marquette
5,Eric Ayala,Fr,SG,Wilmington (DE),IMG Academy,Maryland
13,Ivan Bender,Sr,C,Capljina,Elektrotehnicka Skola,Maryland
15,Will Clark,Jr,F,Bal Harbour (FL),Loyola Blakefield,Maryland
1,Anthony Cowan,Jr,PG,Olney (MD),St. John's College High School,Maryland
23,Bruno Fernando,So,C,Luanda,IMG Academy,Maryland
14,Ricky Lindo,Fr,F,Washington (DC),Woodrow Wilson High School,Maryland
12,Reese Mona,So,G,La Plata (MD),St. John's College High School,Maryland
11,Darryl Morsell,So,SG,Baltimore (MD),Mount Saint Joseph College,Maryland
24,Trace Ramsey,Fr,F,Valparaiso (IN),Don Bosco Preparatory,Maryland
25,Jalen Smith,Fr,C,Baltimore (MD),Mount Saint Joseph College,Maryland
10,Serrel Smith,Fr,G,St. Petersburg (FL),St. Petersburg High School,Maryland
4,Andrew Terrell,Sr,G,Indianapolis (IN),Brebeuf Jesuit Preparatory School,Maryland
0,Joshua Tomaic,So,F,Las Palmas de Gran Canaria,Canarias Basketball Academy,Maryland
20,Travis Valmon,Jr,G,Rockville (MD),Georgetown Preparatory School,Maryland
2,Aaron Wiggins,Fr,F,High Point (NC),Wesleyan Christian Academy,Maryland
24,C.J. Baird,So,F,Detroit (MI),Detroit Catholic Central High School,Michigan
13,Ignas Brazdeikis,Fr,SF,Kaunas,Orangeville Prep,Michigan
55,Eli Brooks,So,G,Spring Grove (PA),Spring Grove High School,Michigan
11,Colin Castleton,Fr,PF,Daytona Beach (FL),Father Lopez Catholic High School,Michigan
51,Austin Davis,Jr,C,Onsted (MI),Onsted High School,Michigan
0,David DeJulius,Fr,PG,Detroit (MI),East English Village Preparatory Academy,Michigan
23,Brandon Johns,Fr,F,Lansing (MI),East Lansing High School,Michigan
4,Isaiah Livers,So,PF,Kalamazoo (MI),Kalamazoo Central High School,Michigan
1,Charles Matthews,Jr,SG,Chicago (IL),St. Rita of Cascia High School,Michigan
5,Adrien Nunez,Fr,SG,Brooklyn (NY),St. Thomas More Prep,Michigan
25,Naji Ozeir,RS-So,F,Novi (MI),Salisbury School,Michigan
14,Rico Ozuna-Harrison,So,PG,Detroit (MI),Cass Technical High School,Michigan
2,Jordan Poole,So,SG,Milwaukee (WI),La Lumiere School,Michigan
3,Zavier Simpson,Jr,PG,Lima (OH),Lima Senior High School,Michigan
5,Jon Teske,Jr,PF,Medina (OH),Medina High School,Michigan
32,Luke Wilson,So,G,Boulder (CO),Boulder High School,Michigan
0,Kyle Ahrens,Jr,SG,Versailles (OH),Versailles High School,Michigan State
30,"Marcus Bingham, Jr.",Fr,PF,Grand Rapids (MI),Catholic Central High School,Michigan State
22,Gabe Brown,Fr,SF,Belleville (MI),Belleville High School,Michigan State
40,Braden Burke,So,C,Stevensville (MI),Lakeshore High School,Michigan State
41,Connor George,Jr,G,Okemos (MI),Okemos High School,Michigan State
25,Kenny Goins,Sr,F,Troy (MI),Warren Mott High School,Michigan State
11,Aaron Henry,Fr,F,Indianapolis (IN),Ben Davis High School,Michigan State
10,Jack Hoiberg,Fr,G,Burr Ridge (IL),Hinsdale Central High School,Michigan State
15,Thomas Kithier,Fr,C,Macomb (MI),Clarkston High School,Michigan State
1,Josh Langford,Jr,SG,Huntsville (AL),Madison Academy,Michigan State
3,Foster Loyer,Fr,PG,Clarkston (MI),Clarkston High School,Michigan State
20,Matt McQuaid,Sr,SG,Duncanville (TX),Duncanville High School,Michigan State
23,Xavier Tillman,So,PF,Grand Rapids (MI),Grand Rapids Christian High School,Michigan State
44,Nick Ward,Jr,PF,Gahanna (OH),Lincoln High School,Michigan State
14,Brock Washington,Fr,G,Southfield (MI),Southfield High School,Michigan State
5,Cassius Winston,Jr,PG,Detroit (MI),University of Detroit Jesuit High School and Academy,Michigan State
24,Abdul Ado,So,C,Chattanooga (TN),Hamilton Heights Christian Academy,Mississippi State
23,Tyson Carter,Jr,PG,Starkville (MS),Starkville High School,Mississippi State
10,Tate Clayton,So,G,Tupelo (MS),Tupelo High School,Mississippi State
45,E.J. Datcher,Jr,C,Vincent (AL),Vincent High School,Mississippi State
22,KeyShawn Feazell,So,PF,Monticello (MS),Lawrence County High School,Mississippi State
4,T.J. Gray,Jr,G,Columbus (MS),Columbus High School,Mississippi State
35,Aric Holman,Sr,C,Owensboro (KY),Owensboro High School,Mississippi State
30,Andrew Junkin,RS-Fr,F,Columbus (MS),New Hope High School,Mississippi State
15,Prince Oduro,So,PF,Toronto,First Love Christian Academy,Mississippi State
1,Reggie Perry,Fr,F,Tallahassee (FL),Thomasville High School,Mississippi State
2,Lamar Peters,Jr,PG,New Orleans (LA),L.B. Landry High School,Mississippi State
3,D.J. Stewart,RS-Fr,SG,Avon (MS),Riverside High School,Mississippi State
5,Mitch Storm,Jr,F,Madison (MS),Madison Central High School,Mississippi State
42,Jethro Tshisumpa,Jr,C,Dallas (TX),Mountain Mission High School,Mississippi State
0,Nick Weatherspoon,So,SG,Camden (MS),Velma Jackson Magnet High School,Mississippi State
11,Quinndary Weatherspoon,Sr,SG,Canton (MS),Velma Jackson Magnet High School,Mississippi State
12,Robert Woodard,Fr,G,Columbus (MS),Columbus High School,Mississippi State
14,K.J. Buffen,Fr,SF,Gainesville (GA),Gainesville High School,Ole Miss
10,Carlos Curry,RS-Fr,F,Albany (GA),Dougherty Comprehensive High School,Ole Miss
20,D.C. Davis,Sr,G,Purvis (MS),Purvis High School,Ole Miss
3,Terence Davis,Sr,SF,Southaven (MS),Southaven High School,Ole Miss
5,Brian Halums,Jr,GF,Hollandale (MS),Simmons High School,Ole Miss
0,Blake Hinson,Fr,SG,Daytona Beach (FL),Sunrise Christian Academy,Ole Miss
31,Eric Horn,Jr,F,Los Gatos (CA),Leigh High School,Ole Miss
33,John McBride,RS-Fr,G,Memphis (TN),Memphis University School,Ole Miss
11,Franco Miller Jr.,RS-Fr,PG,Freeport,Crestwood Preparatory College,Ole Miss
-,Miles Miller,RS-Fr,PG,Meridian (MS),Meridian High School,Ole Miss
30,Antonio Morgano,So,G,Morgantown (WV),Morgantown High School,Ole Miss
1,Zach Naylor,Jr,F,Houston (TX),William B. Travis High School,Ole Miss
13,Dominik Olejniczak,Jr,C,Torun,SMS Cetniewo Sports Academy,Ole Miss
15,Luis Rodriguez,Fr,SG,Woodstock (CT),Woodstock Academy,Ole Miss
2,Devontae Shuler,So,SG,Irmo (SC),Oak Hill Academy,Ole Miss
12,Bruce Stevens,Sr,PF,Bay Springs (MS),Bay Springs High School,Ole Miss
4,Breein Tyree,Jr,PG,Metuchen (NJ),St. Joseph High School,Ole Miss
21,Jordan Brown,Fr,F,Roseville (CA),Prolific Prep,Nevada
24,Jordan Caroline,Sr,F,Champaign (IL),Montverde Academy,Nevada
20,David Cunningham,Sr,G,Sacramento (CA),Bella Vista High School,Nevada
14,Lindsey Drew,RS-Sr,PG,Los Angeles (CA),Fairfax High School,Nevada
2,Corey Henson,Sr,G,Upper Marlboro (MD),DeMatha Catholic High School,Nevada
42,K.J. Hymes,RS-Fr,PF,Phoenix (AZ),St. Mary's High School,Nevada
22,Jazz Johnson,Jr,PG,Lake Oswego (OR),Lake Oswego High School,Nevada
40,Vincent Lee,RS-Fr,PF,Midlothian (TX),Midlothian High School,Nevada
10,Caleb Martin,Sr,F,Mocksville (NC),Oak Hill Academy,Nevada
11,Cody Martin,Sr,F,Mocksville (NC),Oak Hill Academy,Nevada
15,Trey Porter,Sr,F,Dumfries (VA),Potomac High School,Nevada
-,Robby Robinson,RS-So,PF,San Diego (CA),Kearny High School,Nevada
0,Tre'Shawn Thurman,Sr,F,Omaha (NE),Omaha Central High School,Nevada
23,Jalen Townsell,Fr,GF,Sparks (NV),Spanish Springs High School,Nevada
4,Josiah Wood,Sr,G,Reno (NV),Galena High School,Nevada
54,Zach Wurm,Sr,GF,Reno (NV),Bishop Manogue High School,Nevada
5,Nisre Zouzoua,Jr,SG,Brockton (MA),Boston Trinity Academy,Nevada
12,Evan Boudreaux,Jr,PF,Lake Forest (IL),Lake Forest High School,Purdue
14,Ryan Cline,Sr,SG,Carmel (IN),Carmel High School,Purdue
4,Emmanuel Dowuona,RS-Fr,C,Accra,Westwood Christian School,Purdue
20,Nojel Eastern,So,G,Evanston (IL),Evanston Township High School,Purdue
3,Carsen Edwards,Jr,PG,Humble (TX),Atascocita High School,Purdue
24,Grady Eifert,Sr,F,Fort Wayne (IN),Bishop Dwenger High School,Purdue
32,Matt Haarms,So,C,Amsterdam,Sunrise Christian Academy,Purdue
2,Eric Hunter,Fr,SG,Indianapolis (IN),Tindley School,Purdue
23,Kyle King,Fr,F,St. Charles (IL),St. Charles North High School,Purdue
15,Tommy Luce,Jr,G,Jeffersonville (IN),Jeffersonville High School,Purdue
55,Sasha Stefanovic,Fr,SG,Crown Point (IN),Crown Point High School,Purdue
1,Aaron Wheeler,Fr,SF,Stamford (CT),Brewster Academy,Purdue
50,Trevion Williams,Fr,C,Sterling Heights (MI),Henry Ford II High School,Purdue
0,Adrian Autry,Sr,G,Jamesville (NY),Jamesville-Dewitt High School,Syracuse
4,Antonio Balandi,Sr,F,N'Djamena,International School of Ouagadougou,Syracuse
25,Tyus Battle,Jr,SG,Edison (NJ),Gill St. Bernard's School,Syracuse
24,Shaun Belbey,RS-Sr,G,Brick (NJ),Christian Brothers Academy,Syracuse
35,Buddy Boeheim,Fr,SG,Syracuse (NY),Brewster Academy,Syracuse
20,Robert Braswell,Fr,PF,Blythewood (SC),Blythewood High School,Syracuse
11,OShae Brissett,So,PF,Toronto,Athlete Institute Prep,Syracuse
5,Jalen Carey,Fr,PG,Montclair (NJ),Immaculate Conception High School,Syracuse
13,Paschal Chukwu,Sr,C,Westport (CT),Fairfield College Preparatory School,Syracuse
21,Marek Dolezaj,So,SF,Bratislava,N/A,Syracuse
32,Ray Featherston,Jr,G,Westport (CT),Fairfield College Preparatory School,Syracuse
54,Ky Feldman,Sr,G,Agoura Hills (CA),Agoura High School,Syracuse
23,Frank Howard,Sr,GF,Washington (DC),Paul VI High School,Syracuse
4,Elijah Hughes,Jr,SF,Somers (NY),John F. Kennedy Catholic High School,Syracuse
12,Brendan Paul,Fr,G,Shaker Heights (OH),Brewster Academy,Syracuse
35,Bourama Sidibe,So,PF,Bamako,Saint Benedict's Preparatory School,Syracuse
10,Howard Washington,So,PG,Buffalo (NY),Athlete Institute Prep,Syracuse
11,Kyle Alexander,Sr,PF,Malton,Athlete Institute Prep,Tennessee
0,Jordan Bone,Jr,SG,Nashville (TN),The Ensworth School,Tennessee
23,Jordan Bowden,Jr,GF,Greenville (SC),22ft Basketball Academy,Tennessee
32,D.J. Burns,RS-Fr,C,Rock Hill (SC),York Preparatory Academy,Tennessee
24,Lucas Campbell,Sr,G,Knoxville (TN),Christian Academy of Knoxville,Tennessee
4,Jacob Fleschman,So,G,Austin (TX),Westlake High School,Tennessee
10,John Fulkerson,So,PF,Kingsport (TN),Briarcrest Christian School,Tennessee
34,Brock Jancek,Fr,F,Grand Rapids (MI),I.C. Norcom High School,Tennessee
13,Jalen Johnson,So,SF,High Point (NC),Wesleyan Christian Academy,Tennessee
33,Zach Kent,Fr,C,Middletown (DE),Blair Academy,Tennessee
35,Yves Pons,So,GF,Port-au-Prince,N/A,Tennessee
5,Admiral Schofield,Sr,SF,Zion (IL),Zion-Benton Township High School,Tennessee
1,Lamonte Turner,Jr,PG,Huntsville (AL),Arlington Country Day School,Tennessee
15,Derrick Walker,So,PF,Raytown (MO),Raytown Senior High School,Tennessee
2,Grant Williams,Jr,SF,Charlotte (NC),Providence Day School,Tennessee
12,Brad Woodson,Sr,G,Murfreesboro (TN),Riverdale High School,Tennessee
24,Avery Benson,Fr,G,Springdale (AR),Southwest Christian Academy,Texas Tech
3,Deshawn Corprew,So,SG,Hampton (VA),Phoebus High School,Texas Tech
23,Jarrett Culver,So,SG,Lubbock (TX),Coronado High School,Texas Tech
0,Kyler Edwards,Fr,G,Henderson (NV),Findlay College Prep,Texas Tech
1,Brandone Francis,Jr,GF,La Romana,Arlington Country Day School,Texas Tech
20,Parker Hicks,So,G,Decatur (TX),Decatur High School,Texas Tech
35,Joshua Mballa,Fr,SF,Paris,Putnam Science Academy,Texas Tech
-,Kevin McCullar,RS-Fr,PG,San Antonio (TX),Wagner High School,Texas Tech
13,Matt Mooney,Sr,G,Chicago (IL),Air Force Prep Academy,Texas Tech
21,Khavon Moore,Fr,SF,Macon (GA),Westside High School,Texas Tech
25,Davide Moretti,So,G,Bologna,N/A,Texas Tech
32,Norense Odiase,Sr,F,Crowley (TX),North Crowley High School,Texas Tech
10,Malik Ondigo,So,PF,El Mirage (AZ),Dysart High School,Texas Tech
11,Tariq Owens,Sr,PF,Baltimore (MD),St. Vincent Pallotti High School,Texas Tech
30,Andrew Sorrells,Jr,G,North Richland Hills (TX),St. John's Northwest Military Academy,Texas Tech
1,Leaky Black,Fr,SF,Concord (NC),Cox Mill High School,UNC
15,Garrison Brooks,So,C,Auburn (AL),Lafayette High School,UNC
25,Caleb Ellis,Jr,G,Apex (NC),Cary Christian School,UNC
42,Brandon Huffman,So,FC,Anchorage (AK),Word of God Christian Academy,UNC
13,Cameron Johnson,Sr,G,Moon Township (PA),Our Lady of the Sacred Heart High School,UNC
5,Nassir Little,Fr,SF,Jacksonville (FL),Orlando Christian Prep High School,UNC
21,Sterling Manley,So,F,Reynoldsburg (OH),Pickerington High School Central,UNC
32,Luke Maye,Sr,PF,Huntersville (NC),William A. Hough High School,UNC
22,Walker Miller,So,F,Greensboro (NC),New Hampton School,UNC
3,Andrew Platek,So,SG,Guilderland (NY),Northfield Mount Hermon School,UNC
4,Brandon Robinson,Jr,SG,Douglasville (GA),Douglas County High School,UNC
11,Shea Rush,Jr,F,Fairway (KS),The Barstow School,UNC
30,K.J. Smith,So,PG,Santa Ana (CA),IMG Academy,UNC
2,Coby White,Fr,PG,Wilson (NC),Greenfield School,UNC
24,Kenny Williams,Sr,SG,Richmond (VA),L.C. Bird High School,UNC
0,Seventh Woods,Jr,PG,Columbia (SC),Hammond School,UNC
4,Crew Ainge,So,G,Wellesley (MA),Kimball Union Academy,Utah State
12,Justin Bean,Fr,F,Moore (OK),Southmoore High School,Utah State
24,Diogo Brito,Jr,SG,Povoa de Varzim,Mountain Mission High School,Utah State
2,"Dwayne Brown, Jr.",Sr,F,Conyers (GA),Rockdale County High School,Utah State
13,Ke'Sean Davis,Jr,PF,Los Angeles (CA),William Howard Taft High School,Utah State
-,Trevin Dorius,RS-Fr,F,Heber City (UT),Wasatch Academy,Utah State
21,Ben Fakira,Fr,F,Sydney,Barker College,Utah State
14,Roche Grootfaam,RS-Jr,F,Paramaribo,Covenant Christian Academy,Utah State
30,Alek Johnson,So,G,Evanston (WY),Evanston High School,Utah State
3,John Knight III,So,G,Jackson (MS),Callaway High School,Utah State
1,Tauriawn Knight,Fr,G,Edmond (OK),Edmond Santa Fe High School,Utah State
5,Sam Merrill,Jr,G,Bountiful (UT),Bountiful High School,Utah State
22,Brock Miller,Fr,SG,Salt Lake City (UT),Brighton High School,Utah State
15,Abel Porter,So,G,Farmington (UT),Davis High School,Utah State
23,Neemias Queta,Fr,C,Barreiro,N/A,Utah State
0,Klay Stall,So,PF,Chandler (AZ),Basha High School,Utah State
10,Quinn Taylor,Sr,F,Houston (TX),Langham Creek High School,Utah State
24,P.J. Byrd,Fr,G,Richmond (TX),Fort Bend Bush High School,VCU
13,Malik Crowfield,Jr,PG,LaPlace (LA),Riverside Academy,VCU
11,KeShawn Curry,Fr,G,Jacksonville (FL),Fork Union Military Academy,VCU
4,Corey Douglas,So,PF,Louisville (KY),Fork Union Military Academy,VCU
2,Marcus Evans,Jr,PG,Virginia Beach (VA),Cape Henry Collegiate School,VCU
22,Michael Gilmore,Sr,F,Jacksonville (FL),James Rickards High School,VCU
15,Xavier Jackson,Sr,G,Hinesville (GA),Oceanside High School,VCU
